"DateTime","Australia","Canada","China","Denmark","Finland","France","Germany","Hong Kong","India","Indonesia","Italy","Japan","Malaysia","Mexico","Norway","Philippines","Saudi Arabia","Singapore","Spain","Sweden","Taiwan","Thailand","UAE","UK","USA","Vietnam"
"2020-02-21 23:51:40",,,,,,,,,,,,,,,,,,11
"2020-03-27 23:51:40",,,,,,38,,,63,,,,,,,,,23,,,,,,38
"2020-03-29 23:51:40",32,,,47,26,,,,,,,,,,39,,,,,27
"2020-03-30 23:51:40",,36,61,,,,22,,,63,,9,67,38,,65,,,,,,45,,,29,38
"2020-03-31 23:51:40",,,,,,,,45,,,,,,,,,,,,,24
"2020-04-01 23:51:40",,,,,,,,,,,,,,,,,50,,,,,,44
"2020-04-02 23:51:40",,,,,,,,,,,,,,,,,,,51
"2020-04-03 23:51:40",,,,,,41,,,68,,49,,,,,,,31,,,,,,39
"2020-04-05 23:51:40",,,,42,30,,,,,,,,,,37,,,,,26
"2020-04-06 23:51:40",,35,57,,,,21,,,55,,14,70,45,,63,,,,,,47,,,25,53
"2020-04-07 23:51:40",,,,,,,,47,,,,,,,,,43,,,,28,,33
"2020-04-08 23:51:40",,,,,,,,,,,,,,,,,,,49
"2020-04-09 23:51:40",,,,,,,,,,,49
"2020-04-10 23:51:40",,,,,,35,,,,,,,,,,,,47
"2020-04-12 23:51:40",,,,39,18,,,,,,,,,,32,,,,,30
"2020-04-13 23:51:40",,29,56,,,,22,,,55,,18,68,47,,66,,,,,,48,,,32,49
"2020-04-14 23:51:40",,,,,,,,51,,,,,,,,,54,,,,27,,49,38
"2020-04-16 23:51:40",,,,,,,,,,,44,,,,,,,,49
"2020-04-17 23:51:40",,,,,,35,,,,,,,,,,,,49,,,,,,38
"2020-04-19 23:51:40",,,,48,17,,,,,,,,,,25,,,,,26
"2020-04-20 23:51:40",,37,52,,,,22,,,55,,25,68,47,,64,,,,,,54,,,27,48
"2020-04-21 23:51:40",,,,,,,,48,,,,,,,,,,,,,26
"2020-04-22 23:51:40",,,,,,,,,,,,,,,,,56,,,,,,48
"2020-04-23 23:51:40",,,,,,,,,,,44,,,,,,,,42
"2020-04-24 23:51:40",,,,,,32,,,,,,,,,,,,54,,,,,,36
"2020-04-26 23:51:40",,,,32,23,,,,,,,,,,27,,,,,25
"2020-04-27 23:51:40",,36,55,,,,22,,,52,,27,69,46,,66,,,,,,51,,,27,47
"2020-04-28 23:51:40",,,,,,,,49,,,,,,,,,,,,,25
"2020-04-29 23:51:40",,,,,,,,,,,,,,,,,54,,,,,,44
"2020-04-30 23:51:40",,,,,,,,,,,40,,,,,,,,43
"2020-05-01 23:51:40",,,,,,31,,,,,,,,,,,,54,,,,,,34
"2020-05-03 23:51:40",,,,26,17,,,,,,,,,,31,,,,,32
"2020-05-04 23:51:40",,,51,,,,20,,,59,,25,68,,,65,50,,,,,49,45,,,46
"2020-05-05 23:51:40",,,,,,,,48,,,,,,,,,,,,,25
"2020-05-15 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,36
"2020-05-20 23:51:40",,,,,,19,,,,,,,,,,,,,34
"2020-05-21 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,33
"2020-05-22 23:51:40",33,,,,,,,,,53,,,,,,,,53
"2020-05-25 23:51:40",,,,20,,,16,40,,,,,57,,18,62,,,,22,23,49,,,,31
"2020-05-26 23:51:40",,31,44,,,,,,,,24,,,,,,,,,,,,,,23
"2020-05-27 23:51:40",,,,,,22
"2020-05-28 23:51:40",,,,,,,,,,,,,,,,,,,32
"2020-05-30 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,30
"2020-06-01 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,20
"2020-06-02 23:51:40",,,,,,,,,,,21
"2020-06-03 23:51:40",,,,,,,,,,,,,,,,,35,,,,,,36
"2020-06-04 23:51:40",,,,,,16
"2020-06-05 23:51:40",,,,,,,,,,,,,,,,,,49,,,,,,25
"2020-06-08 23:51:40",,,40,,,,,38,,50,,,50,,,55,,,24,,21,43,,,17,30
"2020-06-09 23:51:40",,,,,,,,,,,,,,,,,,,,20
"2020-06-10 23:51:40",,,,,,,,,,,17,,,,,,38,,,,,,36
"2020-06-11 23:51:40",,23
"2020-06-12 23:51:40",,,,,,12,,,,,,,,,,,,,22
"2020-06-15 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,19
"2020-06-16 23:51:40",,,,,,,,,,,,,,,,,,,,19,,,,27
"2020-06-17 23:51:40",,,,,,17,,,,,16,,,,,,34,,,,,,28
"2020-06-18 23:51:40",,,,17,,,12
"2020-06-19 23:51:40",,,,,,,,,,,,,,,,,,45
"2020-06-20 23:51:40",,,,,11
"2020-06-21 23:51:40",,,,,,,,,,,,,,,,,,,20
"2020-06-22 23:51:40",,,36,,,,,31,,45,,,46,,,55,,,,,21,38,,,19,29
"2020-06-23 23:51:40",,,,,,,,,,,18
"2020-06-24 23:51:40",,,,,,10
"2020-06-25 23:51:40",,,,,,,,,,,,,,,,,,,20,,,,,26
"2020-06-26 23:51:40",,22
"2020-07-01 23:51:40",,,,,,12
"2020-07-02 23:51:40",,,,,,,11
"2020-07-03 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,24
"2020-07-05 23:51:40",,,,,,,,,,,,,,,,,,,,,,,30
"2020-07-06 23:51:40",,,34,,,,,28,,39,,,42,,,55,,,,,20,36,,,18,27
"2020-07-07 23:51:40",,23,,,,,,,,,12,,,,,,,33
"2020-07-09 23:51:40",,,,,,,,,,,,,,,,,,,15
"2020-07-12 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,23
"2020-07-13 23:51:40",,,,,,,,,,,,,,,,,25,,,,,,29
"2020-07-14 23:51:40",,,,,,,,,,,13,,,,,,,,,,,,,,17
"2020-07-16 23:51:40",,,,,,11,13,,,,,,,,,,,,16
"2020-07-20 23:51:40",,,30,,,,,,,41,,,37,,,52,,32,,,23,35,,,15,27
"2020-07-21 23:51:40",,20,,,,,,37,,,12,,,,,,,,,,,,20
"2020-07-22 23:51:40",,,,,,10
"2020-07-23 23:51:40",,,,,,,,,,,,,,,,,,,14
"2020-07-26 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,18
"2020-07-27 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,18
"2020-07-28 23:51:40",,,,,,,,,,,9
"2020-07-29 23:51:40",,,,,,,,,,,,,,,,,27,,,,,,26
"2020-07-30 23:51:40",,,,,,,11,,,,,,,,,,,,15
"2020-07-31 23:51:40",,,,,,8,,,,,,,,,,,,,,,,,,19
"2020-08-03 23:51:40",,,,,,,,,,38,,,27,,,48,,35,,,22,32,,,15,26
"2020-08-04 23:51:40",,21,32,,,,,45
"2020-08-06 23:51:40",,,,,,,,,,,,,,,,,,,15
"2020-08-07 23:51:40",,,,,,9,,,,,,,,,,,,,,,,,,21
"2020-08-10 23:51:40",,,,,,,,,,,,,,,,,26,,,,,,,,20
"2020-08-11 23:51:40",,,,,,,,,,,,,,,,,,,,,,,23
"2020-08-12 23:51:40",,,,,,9,,,,,,,,,,,,,,,,,,19
"2020-08-13 23:51:40",,,,,,,10
"2020-08-14 23:51:40",,,,,,,,,,,,,,,,,,29
"2020-08-17 23:51:40",,,32,,,,,,,39,,,30,,,52,,,,,19,28,,,20,29
"2020-08-18 23:51:40",,,,,,,,43,,,9
"2020-08-19 23:51:40",,,,,,,,,,,,,,,,,27
"2020-08-24 23:51:40",,20,,,,,,,,,,,,,,,,,,,,,23
"2020-08-25 23:51:40",,,,,,,,,,,12,,,,,,,,13,,,,,17,17
"2020-08-27 23:51:40",,,,,,,10
"2020-08-28 23:51:40",,,,,,,,,,,,,,,,,,23
"2020-08-30 23:51:40",23
"2020-08-31 23:51:40",,,35,,,,,39,,38,,,26,,,54,27,,,,20,27,,,,23
"2020-09-01 23:51:40",,20,,,,,,,,,10,,,,,,,,,,,,,,16
"2020-09-02 23:51:40",,,,,,8
"2020-09-04 23:51:40",,,,,,,,,,,,,,,,,,,15
"2020-09-06 23:51:40",,,,,13
"2020-09-08 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,13,18
"2020-09-09 23:51:40",,,,,,,,,,,10
"2020-09-10 23:51:40",,,,,,9,9,,,,,,,,,,,,15
"2020-09-11 23:51:40",,,,,,,,,,,,,,,,,,24,,16
"2020-09-13 23:51:40",,,,14
"2020-09-14 23:51:40",,,25,,,,,,,42,,,23,,12,54,,,,,20,26,,,20,25
"2020-09-15 23:51:40",,,,,,,,39
"2020-09-16 23:51:40",,,,,,,,,,,8,,,,,,,,,,,,,14
"2020-09-18 23:51:40",,,,,,,,,,,,,,,,,,,10
"2020-09-20 23:51:40",,,,,11
"2020-09-21 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,20
"2020-09-22 23:51:40",,,,,,7
"2020-09-23 23:51:40",,,,16,,,,,,,,,,,,,,,16,18
"2020-09-24 23:51:40",,,,,,,9
"2020-09-25 23:51:40",,,,,,,,,,,,,,,,,,25
"2020-09-27 23:51:40",,,,,,,,,,,,,,,14
"2020-09-28 23:51:40",,,24,,,,,36,,41,,,21,,,52,,,,,19,28,,,17,24
"2020-09-29 23:51:40",,,,,,,,,,,10,,,,,,,,,,,,,17
"2020-09-30 23:51:40",,,,,,7,,,,,,,,,,,21,,15,,,,19
"2020-10-06 23:51:40",,,,,,,,,,,9,,,,,,,,,,,,,,18
"2020-10-07 23:51:40",,,,,,,,,,,,,,,,,25,,,,,,21,19
"2020-10-08 23:51:40",,,,,,,11
"2020-10-09 23:51:40",,,,,,,,,,,,,,,,,,25,,14
"2020-10-11 23:51:40",,,,,,,,,,,,,,,11
"2020-10-12 23:51:40",,,22,14,12,,,31,,40,,,28,,,54,,,,,17,23,,,16,23
"2020-10-13 23:51:40",,,,,,,,,,,10
"2020-10-14 23:51:40",,,,,,,,,,,,,,,,,23,,,,,,22
"2020-10-15 23:51:40",,,,,,8
"2020-10-16 23:51:40",,,,,,,,,,,,,,,,,,,13
"2020-10-19 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,17
"2020-10-20 23:51:40",,,,,,,,,,,14
"2020-10-22 23:51:40",,,,,,10,10,,,,,,,,,,,,,,,,,17
"2020-10-23 23:51:40",,,,,,,,,,,,,,,,,,26
"2020-10-26 23:51:40",,,,,,,,,,42,,,40,,,48,,,,,,23,,,15,23
"2020-10-27 23:51:40",,,,,,,,32,,,11,,,,,,,,,,19
"2020-10-28 23:51:40",,,,,,9
"2020-10-30 23:51:40",,19
"2020-11-02 23:51:40",,,,,,,,,,,,,,,,,21,,,,,,18,,17
"2020-11-03 23:51:40",,,,,12,,,,,,14,,,,,,,,,19
"2020-11-04 23:51:40",,,,,,13,12,,,,,,,,,,,,13
"2020-11-05 23:51:40",,,,15
"2020-11-06 23:51:40",,,,,,,,,,,,,,,,,,24
"2020-11-09 23:51:40",,,,,,,,25,,39,,,42,,17,45,21,,,,20,24,,,16,23
"2020-11-10 23:51:40",,,,,,,,,,,15
"2020-11-11 23:51:40",,,,,,,,,,,,,,,,,,,,,,,18
"2020-11-12 23:51:40",,,,,11
"2020-11-16 23:51:40",,,,,,,,,,,,,,,,,,,15,,,,,,19
"2020-11-17 23:51:40",,,,,,,,,,,16,,,,,,22
"2020-11-18 23:51:40",,,,17,,16,,,,,,,,,,,,,,,,,,23
"2020-11-20 23:51:40",,,,,,,,,,,,,,,,,,23,,23
"2020-11-22 23:51:40",,,,,,,,,,,,,,,18
"2020-11-23 23:51:40",,,,,,,,,,38,,,43,,,50,,,11,,,24,,,,24
"2020-11-24 23:51:40",,,,,,,,31,,,,,,,,,,,,,19
"2020-11-25 23:51:40",,,,,,17
"2020-11-26 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,19
